Order ID,Order Date,Year,Month,Month Number,Year-Month,Customer ID,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Profit Margin %,Order Value,Payment Method
ORD11754,2024-02-22,2024,Feb,2,2024-02,CUST0280,Anika Bose,West,Pune,Clothing,Running Shoes,Running Shoes,1,910.04,0.15,773.53,210.28,27.184466019417474,773.53,UPI
ORD10986,2024-10-09,2024,Oct,10,2024-10,CUST0061,Arjun Rao,South,Chennai,Furniture,Study Table,Study Table,1,4991.64,0.0,4991.64,1116.47,22.36679728506062,4991.64,Cash on Delivery
ORD10035,2024-06-20,2024,Jun,6,2024-06,CUST0087,Nikhil Reddy,North,Chandigarh,Furniture,Study Table,Study Table,1,4991.64,0.2,3993.31,118.14,2.9584480042871704,3993.31,Debit Card
ORD11248,2024-05-02,2024,May,5,2024-05,CUST0227,Ishaan Sharma,North,Jaipur,Home & Kitchen,LED Table Lamp,LED Table Lamp,1,2416.75,0.05,2295.91,913.33,39.78074053425439,2295.91,Cash on Delivery
ORD11915,2024-02-03,2024,Feb,2,2024-02,CUST0087,Nikhil Reddy,East,Kolkata,Furniture,Recliner Chair,Recliner Chair,1,2880.32,0.05,2736.3,838.86,30.656726236158317,2736.3,Cash on Delivery
ORD11922,2024-08-11,2024,Aug,8,2024-08,CUST0445,Ravi Das,West,Ahmedabad,Stationery,Desk Organizer,Desk Organizer,3,967.81,0.0,2613.09,1530.38,58.56591238725034,2613.09,Debit Card
ORD11057,2024-02-29,2024,Feb,2,2024-02,CUST0269,Ravi Mehta,North,Jaipur,Home & Kitchen,Water Bottle,Water Bottle,1,5018.72,0.15,4265.91,746.83,17.50693287012619,4265.91,Debit Card
ORD12197,2025-03-24,2025,Mar,3,2025-03,CUST0432,Kavya Mehta,North,Jaipur,Furniture,Bookshelf,Bookshelf,2,4584.81,0.05,8711.14,2100.71,24.115213393424973,8711.14,Debit Card
ORD10263,2024-10-27,2024,Oct,10,2024-10,CUST0095,Rohan Verma,West,Mumbai,Electronics,Portable SSD 1TB,Portable SSD 1TB,2,3916.61,0.15,6658.24,-141.76,-2.129091171240448,6658.24,Debit Card
ORD11166,2024-04-17,2024,Apr,4,2024-04,CUST0170,Pooja Verma,South,Hyderabad,Electronics,Smart Watch,Smart Watch,2,2319.17,0.0,4638.34,524.98,11.318273347792529,4638.34,Credit Card
ORD11594,2024-01-25,2024,Jan,1,2024-01,CUST0060,Rohan Mehta,North,Chandigarh,Furniture,Study Table,Study Table,1,4991.64,0.15,4242.89,367.72,8.666734230677676,4242.89,UPI
ORD10451,2024-03-19,2024,Mar,3,2024-03,CUST0444,Pooja Das,West,Ahmedabad,Electronics,Portable SSD 1TB,Portable SSD 1TB,1,3916.61,0.1,3524.95,124.95,3.544731130938028,3524.95,Debit Card
ORD10464,2024-12-30,2024,Dec,12,2024-12,CUST0178,Priya Kapoor,West,Pune,Electronics,Smart Watch,Smart Watch,1,2319.17,0.05,2203.21,146.53,6.650750495867394,2203.21,UPI
ORD11479,2025-01-02,2025,Jan,1,2025-01,CUST0360,Aarav Bose,North,Jaipur,Furniture,Sofa Cover,Sofa Cover,2,4703.54,0.0,9407.08,2926.28,31.107208613087167,9407.08,UPI
