Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-2031955,2025-01-01,2025-01-05,Standard Class,CUST-00651,Patricia Garcia,Corporate,WEST,San Francisco,office supplies,Art,Art Item 46,5,0.0,592.1,234.27
ORD-2029079,2023-08-18,2023-08-20,Second Class,CUST-00688,Barbara Jones,Corporate,central,Houston,technology,Copiers,Copiers Item 77,3,0.0,116.46,39.19
ORD-2029195,2025-10-29,2025-11-05,First Class,CUST-00254,Thomas Thompson,Consumer,west,Seattle,Office Supplies,Paper,Paper Item 34,4,0.15,406.81,40.98
ORD-2030673,2025-05-20,2025-05-27,Standard Class,CUST-00146,Charles Anderson,Consumer,South,Nashville,Furnitur ,Tables,Tables Item 6,5,0.5,743.32,-493.53
ORD-2029624,2025-01-27,2025-01-30,Standard Class,CUST-00062,Jennifer Martinez,Consumer,central,Chicago,furniture,Tables,Tables Item 12,3,0.15,1617.8,363.57
ORD-2028829,2025-09-28,2025-09-30,Standard Class,CUST-00530,Nancy Martinez,Corporate,south,Atlanta,Tech,Phones,Phones Item 54,5,0.0,2986.05,572.62
ORD-2023901,2024-07-23,2024-07-26,Standard Class,CUST-00153,Mary Miller,Consumer,South,Nashville,FURNITURE,Bookcases,Bookcases Item 15,2,0.15,401.06,111.94
ORD-2024456,2025-02-14,2025-02-21,Standard Class,CUST-00400,Betty Miller,Corporate,WEST,Phoenix,office supplies,Labels,Labels Item 49,5,0.15,85.51,0.51
ORD-2024593,2024-01-28,2024-02-02,Second Class,CUST-00219,Betty Perez,Consumer,west,Phoenix,Office Supplies,Art,Art Item 45,7,0.0,84.91,12.93
ORD-2028278,2025-02-19,2025-02-22,Standard Class,CUST-00255,Patricia Rodriguez,Home Office,central,Detroit,Tech,Copiers,Copiers Item 76,11,0.2,15612.08,2081.77
ORD-2027090,2023-11-30,2023-12-05,Second Class,CUST-00376,Charles Garcia,Home Office,East,Boston,Technology,Accessories,Accessories Item 71,5,0.15,2581.07,731.69
ORD-2028508,2024-04-04,2024-04-07,Second Class,CUST-00607,Jessica Johnson,Home Office,West,Los Angeles,technology,Phones,Phones Item 56,9,0.1,2080.73,255.44
ORD-2030168,2024-08-21,2024-08-28,Second Class,CUST-00211,Joseph Martin,Corporate,West,Seattle,Office Supplies,Binders,Binders Item 30,11,0.15,1101.34,155.06
ORD-2029483,2024-12-06,2024-12-08,Same Day,CUST-00424,Karen Williams,Corporate,central,Dallas,technology,Copiers,Copiers Item 78,10,0.0,7021.0,2286.95
ORD-2028450,2025-04-06,2025-04-10,Standard Class,CUST-00174,Jennifer Martin,Corporate,Centrl,Detroit,office supplies,Art,Art Item 47,9,0.0,197.1,41.41
ORD-2029713,2023-11-29,2023-12-04,First Class,CUST-00019,Thomas Taylor,Consumer,south,Nashville,Office  Supplies,Storage,Storage Item 42,1,0.0,45.09,14.61
ORD-2023287,2024-10-05,2024-10-08,Standard Class,CUST-00686,Barbara Davis,Corporate,south,Nashville,FURNITURE,Chairs,Chairs Item 4,1,0.2,78.22,2.17
ORD-2030631,2025-01-16,2025-01-21,Same Day,CUST-00646,David Thomas,Consumer,west,Seattle,Tech,Copiers,Copiers Item 74,1,0.0,1096.28,331.18
ORD-2027371,11/05/2024,2024-05-14,Second Class,CUST-00600,Linda Anderson,Consumer,Central,Dallas,OfficeSupplies,Storage,Storage Item 41,4,0.0,286.4,61.16
ORD-2025285,2025-02-22,2025-03-01,Standard Class,CUST-00121,Michael Lopez,Home Office,WEST,San Francisco,furniture,Tables,Tables Item 6,10,0.0,2973.3,1246.94
